name,category_code,country_code,founded_year,funding_total_usd,funding_rounds,status
Wetpaint,web,USA,2005.0,39750000.0,3,operating
FriendFeed,web,USA,2007.0,5000000.0,1,acquired
Fitbit,health,USA,2007.0,68069200.0,5,operating
MTPV,cleantech,USA,2003.0,10125293.0,3,operating
Demandbase,analytics,USA,2006.0,33000000.0,3,operating
Locatrix Communications,mobile,AUS,2003.0,250000.0,1,operating
iHireHelp,education,USA,2010.0,100000.0,1,operating
Cardiosolutions,medical,USA,2006.0,11300000.0,2,operating
Wevod,games_video,FRA,2006.0,414840.0,2,operating
Balance Financial,enterprise,USA,2004.0,1500000.0,1,operating
Wikinvest,web,USA,2006.0,2500000.0,1,operating
Solectria Renewables,cleantech,USA,,2100000.0,1,operating
Jumptap,mobile,USA,2005.0,121500000.0,7,acquired
Jogabo,games_video,USA,2011.0,40000.0,1,operating
Courion Corporation,software,USA,1996.0,840000.0,2,operating
PlayPhone,games_video,USA,2003.0,95097200.0,3,operating
Rupture,games_video,USA,,3000000.0,1,acquired
Birdpost,web,USA,2007.0,350000.0,1,operating
Ambitious Minds,education,GBR,2009.0,559522.0,1,operating
iCharts,analytics,USA,2008.0,3100000.0,1,operating
Attunity,software,USA,,10500000.0,4,ipo
FairSoftware,web,USA,2007.0,100000.0,1,closed
AMAX Global Services,software,USA,2000.0,45000.0,1,operating
The Local,news,SWE,2004.0,3933515.0,3,operating
Tingz,software,USA,2007.0,280000.0,1,operating
SellABand,games_video,DEU,2006.0,5000000.0,1,closed
Gazelle,ecommerce,USA,2006.0,46400000.0,5,operating
Icount.com,government,USA,2010.0,182500.0,2,operating
Rev Worldwide,ecommerce,USA,2008.0,4815940.0,2,operating
Tonchidot,mobile,JPN,2008.0,16000000.0,2,operating
HammerKit,web,FIN,2006.0,1613875.0,1,closed
MetaPack,software,GBR,1999.0,30772029.0,2,operating
Eqvilibria,other,RUS,2009.0,720000.0,1,operating
Sportsvite,web,USA,2007.0,4350000.0,2,operating
SideTour,web,USA,2011.0,4000000.0,3,acquired
ChatID,mobile,USA,2011.0,3268000.0,3,operating
PGP TrustCenter,security,USA,1997.0,8500000.0,1,operating
ChoicePass,enterprise,USA,2011.0,250000.0,1,acquired
Producteev,software,USA,2008.0,1310000.0,3,acquired
TradeCard,enterprise,USA,1999.0,44925050.0,2,acquired
Twonq,web,USA,2008.0,800000.0,1,operating
Striiv,hardware,USA,,6000000.0,1,operating
Vestaron Corporation,biotech,USA,2001.0,10200000.0,1,operating
Vidacare,hardware,USA,,274999.0,1,acquired
agencyQ,advertising,USA,,1600000.0,1,operating
"ITOG, Inc.",network_hosting,USA,2006.0,205000.0,1,closed
Finestrella,finance,MEX,2008.0,13800000.0,1,operating
AdRocket,advertising,USA,2008.0,1000000.0,1,operating
StudioNow,photo_video,USA,2007.0,15286415.0,3,acquired
Brand.net,advertising,USA,2007.0,27000000.0,3,operating
Cartera Commerce,advertising,USA,2005.0,37570663.0,5,operating
Burt,advertising,SWE,2009.0,3500000.0,2,operating
